work_id,keyword,score,source
W4386830977,Inhibitory postsynaptic potential,0.13455873727798462,keyword
W4386830977,Chemistry,0.130964457988739,keyword
W4386830977,Psychology,0.07159844040870667,keyword
W4386830977,Engineering,0.07014745473861694,keyword
W4386830977,Advanced Memory and Neural Computing,1.0,topic
W4386830977,Neuroscience and Neural Engineering,0.9995999932289124,topic
W4386830977,Ferroelectric and Negative Capacitance Devices,0.9984999895095825,topic
W4385416056,Neuromorphic engineering,0.9355717897415161,keyword
W4385416056,Synapse,0.6283336877822876,keyword
W4385416056,Computer science,0.559859037399292,keyword
W4385416056,Materials science,0.5339564085006714,keyword
W4385416056,Synaptic weight,0.5087800621986389,keyword
W4385416056,Nanowire,0.47751039266586304,keyword
W4385416056,Long-term potentiation,0.44448989629745483,keyword
W4385416056,Neuroscience,0.3945535719394684,keyword
W4385416056,Artificial intelligence,0.38513684272766113,keyword
W4385416056,Optoelectronics,0.35709643363952637,keyword
W4385416056,Artificial neural network,0.33938831090927124,keyword
W4385416056,Chemistry,0.12060174345970154,keyword
W4385416056,Biology,0.08130070567131042,keyword
W4385416056,Advanced Memory and Neural Computing,1.0,topic
W4385416056,Photoreceptor and optogenetics research,0.9972000122070312,topic
W4385416056,Neural Networks and Reservoir Computing,0.9950000047683716,topic
W4391733927,Trapping,0.7607266902923584,keyword
W4391733927,Nanowire,0.7253401875495911,keyword
W4391733927,Hysteresis,0.7187814116477966,keyword
W4391733927,Optoelectronics,0.5334352254867554,keyword
W4391733927,Voltage,0.5263230204582214,keyword
W4391733927,Current (fluid),0.5003402233123779,keyword
W4391733927,Materials science,0.4915696084499359,keyword
W4391733927,Nanotechnology,0.44964444637298584,keyword
W4391733927,Charge (physics),0.4389907121658325,keyword
W4391733927,Electrical engineering,0.2521194517612457,keyword
W4391733927,Condensed matter physics,0.19542747735977173,keyword
W4391733927,Physics,0.17997825145721436,keyword
W4391733927,Advanced Memory and Neural Computing,1.0,topic
W4391733927,Neural dynamics and brain function,0.9994999766349792,topic
W4391733927,Neuroscience and Neural Engineering,0.9994999766349792,topic
W4402189208,Neuromorphic engineering,0.9119166135787964,keyword
W4402189208,Materials science,0.6251429319381714,keyword
W4402189208,Synapse,0.561083972454071,keyword
W4402189208,Nanowire,0.5578480958938599,keyword
W4402189208,Optoelectronics,0.47064632177352905,keyword
W4402189208,Synaptic plasticity,0.426950067281723,keyword
W4402189208,Semiconductor,0.426433801651001,keyword
W4402189208,Nanotechnology,0.392574667930603,keyword
W4402189208,Computer science,0.3179774284362793,keyword
W4402189208,Neuroscience,0.2859935760498047,keyword
W4402189208,Chemistry,0.20492690801620483,keyword
W4402189208,Biology,0.13445547223091125,keyword
W4402189208,Artificial neural network,0.10091701149940491,keyword
W4402189208,Receptor,0.0825330913066864,keyword
